Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
6,144,NYJ,Travis Roach,G,23,1974,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,Texas,,RoacTr20
6,145,KAN,Doug Jones,DB,23,1979,0,0,3,18,4,68,0,0,0,0,0,0,0,0,0,0,0,6,1.0,Cal State-Northridge,,JoneDo23
6,146,CIN,Bob Jones,DB,22,1976,0,0,0,11,6,51,0,0,0,0,0,0,0,0,1,25,0,,,Virginia Union,,JoneBo20
6,147,NYG,Wade Brantley,DT,,,0,0,0,,,,,,,,,,,,,,,,,Troy,,-9999
6,148,STL,Phil Andre,DB,,,0,0,0,,,,,,,,,,,,,,,,,Washington,,-9999
6,149,SFO,Arthur Moore,NT,22,1977,0,0,0,8,,29,0,0,0,0,0,0,0,0,0,0,0,,6.0,Tulsa,,MoorAr20
6,150,CLE,Van Green,DB,22,1976,0,0,2,14,12,48,0,0,0,0,0,0,0,0,2,26,0,3,,Shaw,,GreeVa20
6,151,DAL,Bob Leyen,G,,,0,0,0,,,,,,,,,,,,,,,,,Yale,,-9999
6,152,GNB,Tom Toner,LB,23,1977,0,0,2,15,15,53,0,0,0,0,0,0,0,0,0,0,0,4,2.0,Idaho St.,,ToneTo21
6,153,OAK,Brent Myers,T,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,,-9999
6,154,PIT,Glenn Scolnik,WR,22,1973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Indiana,College Stats,ScolGl20
6,155,NYJ,Rick Harrell,C,22,1973,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,,,Clemson,,HarrRi20
6,156,MIA,Ed Newman,G,22,1984,1,4,6,77,77,167,0,0,0,0,0,0,0,0,0,0,0,,,Duke,,NewmEd00
7,157,HOU,Shelby Jordan,T,21,1986,0,0,6,41,,151,0,0,0,0,0,0,0,0,0,0,0,,,Washington (MO),,JordSh20
7,158,NOR,Bill Cahill,DB,22,1974,0,0,0,4,,19,0,0,0,0,0,0,0,0,0,0,0,,,Washington,,CahiBi20
7,159,PHI,Will Wynn,DE,24,1977,0,0,4,24,23,55,0,0,0,0,0,0,0,0,0,0,0,,21.0,Tennessee St.,,WynnWi20
7,160,MIA,Kevin Reilly,LB,22,1975,0,0,0,7,,25,0,0,0,0,0,0,0,0,0,0,0,1,,Villanova,,ReilKe20
7,161,RAM,Steve Brown,LB,,,0,0,0,,,,,,,,,,,,,,,,,Oregon St.,,-9999
7,162,BUF,Brian McConnell,LB,23,1973,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,,McCoBr20
7,163,MIA,Benny Shepherd,RB,,,0,0,0,,,,,,,,,,,,,,,,,Arkansas Tech,,-9999
7,164,STL,Ken Jones,T,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,,-9999
